Label,URL,brand,name,price,rank,skin_type,ingredients,product_image,brand2,name3,price4,rank5,skin_type6,ingredients7,product_image8
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/creamy-eye-treatment-with-avocado-P422000?icid2=products%20grid:p422000,Kiehl's Since 1851,Creamy Eye Treatment with Avocado,$32.00 ,0,No Info,"Avocado Oil: Moisturizes, nourishes, and visibly Softens skin.
-Beta-Carotene: Provides antioxidant benefits.
-Shea Butter: Defends against dehydration, restores suppleness, and improves dry skin.

                                                                                                                                                                                                                                                                Aqua/Water, Butyrospermum Parkii Butter/Shea Butter, But",https://www.sephora.com/productimages/sku/s1988815-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/the-silk-peony-melting-eye-cream-P447780?icid2=products%20grid:p447780,Tatcha,The Silk Peony Melting Eye Cream,$60.00 ,0,No Info,"Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats , Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles As defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",https://www.sephora.com/productimages/sku/s2236263-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/la-mer-the-eye-concentrate-P455924?icid2=products%20grid:p455924,La Mer,The Eye Concentrate Cream,$235.00 ,3.1,No Info,"Clarity Ferment (Sourced from Recovery Kelp): restores brightness and Reduces look of dark circles.
-Lime Tea Concentrate: Contains antioxidants to protect skin from irritation due to environmental stressors.
-Concentrated Miracle Broth™: Provides A soot",https://www.sephora.com/productimages/sku/s2341600-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/ginzing-refreshing-eye-cream-P297511?icid2=products%20grid:p297511,Origins,GinZing™ Refreshing Eye Cream to Brighten and Depuff,$33.00 ,0,No Info,"-Coffee: Found in Ethiopia, its energizing properties help wake up, refresh, and restore radiance to tired skin.

Water, Methyl Trimethicone, Butylene Glycol, Peg-100 Stearate, Dimethicone, Cetyl Ricinoleate, Silica, Olea Europaea (Olive) Fruit Oil, Glyce",https://www.sephora.com/productimages/sku/s1375625-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/squalane-marine-algae-eye-cream-P447210?icid2=products%20grid:p447210,Biossance,Squalane + Marine Algae Eye Cream,$54.00 ,0,No Info,"Marine Algae Complex: visibly Reduces the appearance of fine lines and wrinkles.
-Paracress Extract: Quickly smooths and firms the look of skin.
-Squalane: Weightlessly locks in essential moisture.

                                                                                                                                                                                                                                                                Water, Caprylic/Capric Triglyceride, Squalane, Glycerin",https://www.sephora.com/productimages/sku/s2260016-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/barrier-lipid-boost-360-eye-P442838?icid2=products%20grid:p442838,Skinfix,Barrier+ Triple Lipid-Boost 360° Eye Cream,$40.00 ,4.5,No Info,"Alfalfa Seed Complex: Helps to diminish the look of under-eye puffiness.
-Saccharomyces Complex: Helps to reduce the appearance of dark circles.
-Seaweed Hyaluronate Blend: Pulls moisture into the skin to create A smooth appearance.

                                                                                                                                                                                                                                                                Water, Glycerin, C10",https://www.sephora.com/productimages/sku/s2215960-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/lancome-renergie-lift-multi-action-ultra-dark-circle-correcting-eye-cream-P467630?icid2=products%20grid:p467630,Lancôme,Rénergie Lift Multi-Action Ultra Dark Circle Correcting Eye Cream,$78.00 ,4.8,No Info,"Next-Generation Acetylated Hyaluronic Acid: Enhances moisture retention and skin hydration.
-Caffeine: Reduces the look of under-eye bags, puffiness, and dark circles.
-Linseed Extract: improves visible signs of aging like wrinkles and lack of firmness.",https://www.sephora.com/productimages/sku/s2425130-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/baggage-claim-gold-eye-masks-P428668?icid2=products%20grid:p428668,Wander Beauty,Baggage Claim Eye Masks,$25.00 ,4.1,No Info,"Peptides: help to improve the texture and tone of skin.
-Amino Acids: help maintain skin’s hydration, texture, and overall healthy appearance.
-Hyaluronic Acid: Hydrates skin to help diminish the appearance of fine lines and wrinkles.

                                                                                                                                                                                                                                                                Water, Glycerin, B",https://www.sephora.com/productimages/sku/s2156925-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/benefiance-wrinkleresist24-pure-retinol-express-soothing-eye-mask-P173619?icid2=products%20grid:p173619,Shiseido,Benefiance WrinkleResist24 Pure Retinol Express Smoothing Eye Mask,$70.00 ,4.4,No Info,"Pure Retinol Micro-infusion Technology: visibly Reduces fine lines and wrinkles.
-Wrinkleresist24 (Chlorella, Mukurossi, and Gambir Extracts): Works to reduce the appearance of fine lines and wrinkles.
-Super Bio-Hyaluronic Acid N: Hydrates the skin with",https://www.sephora.com/productimages/sku/s1594167-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/black-tea-age-delay-eye-concentrate-P384778?icid2=products%20grid:p384778,fresh,Black Tea Firming and De-Puffing Eye Cream,$68.00 ,3.9,No Info,"Black Tea Complex (Kombucha, Black Tea Extract, Blackberry Leaf Extract, and Lychee Seed Extract): Proven to inhibit damaging free radicals and Helps to improve skin elasticity.
-Noni Fruit Juice: Known to retain and increase moisture, improving the appe",https://www.sephora.com/productimages/sku/s1585983-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/first-aid-beauty-eye-duty-niacinamide-brightening-eye-cream-P456994?icid2=products%20grid:p456994,First Aid Beauty,Eye Duty Niacinamide Brightening Eye Cream,$36.00 ,3.8,No Info,"-Niacinamide: Fades the appearance of brown undereye dark circles.
-Pumpkin Seed Extract: Soothes and visibly depuff eyes to minimize the appearance of blue undereye circles.
-Sodium Hyaluronate: Supports skin's moisture content, smooths, and reduces the ",https://www.sephora.com/productimages/sku/s2339463-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/brighteyes-illuminating-anti-fatigue-eye-cream-P448208?icid2=products%20grid:p448208,GLAMGLOW,BRIGHTEYES™ Illuminating Anti-Fatigue Eye Cream,$39.00 ,4.1,No Info,"Illuminating Spheres: Brighten dark circles.
-Caffeine: Energizes and revitalizes.
-Hyaluronic Acid: Plumps and Hydrates all day.
-Peptides: help reduce the look of fine lines and wrinkles around the entire eye area.

                                                                                                                                                                                                                                                                Water\Aqua\Eau, Butyrospermum Parkii",https://www.sephora.com/productimages/sku/s2274348-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/shaba-complex-eye-serum-P419223?icid2=products%20grid:p419223,Drunk Elephant,Shaba Complex™ Firming Eye Serum,$60.00 ,3.9,No Info,"-Copper Peptides: Reduce the appearance of wrinkles and promote a more elastic feel to the skin.
-Leontopodium Alpinum (Edelweiss) Meristem Cell Culture: Soothes while powerful antioxidants combat visible signs of aging.
-Black Tea Ferment: Smooths skin r",https://www.sephora.com/productimages/sku/s1955640-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/clarins-total-eye-lift-P462666?icid2=products%20grid:p462666,Clarins,Total Eye Lift,$89.00 ,0,No Info,#NAME?,https://www.sephora.com/productimages/sku/s2381002-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/auto-correct-brightening-depuffing-eye-contour-cream-P424948?icid2=products%20grid:p424948,SUNDAY RILEY,Auto Correct Brightening + Depuffing Eye Cream for Dark Circles,$65.00 ,4,No Info,"-Dark Circle Complex (Caffeine, Brazilian Ginseng, Horse Chestnut, and Light-Reflecting Particles): An invigorating blend to wake up tired, fatigued eyes and reduce the appearance of dark circles and puffiness for a more refined, brighter-looking eye area",https://www.sephora.com/productimages/sku/s2020634-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/caudalie-resveratrol-lift-firming-eye-gel-cream-P467748?icid2=products%20grid:p467748,Caudalie,Resveratrol Lift Firming Eye Gel-Cream,$59.00 ,4.5,No Info,"Resveratrol: A powerful vine antioxidant to visibly firm and reduce the look of wrinkles.
-Hyaluronic Acids: Two molecular sizes of Hyaluronic Acid hydrate and leave skin feeling soft.
-Vegan Collagen Alternative: Mahogany bark Extract visibly firms and",https://www.sephora.com/productimages/sku/s2421063-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/the-pearl-tinted-eye-illuminating-treatment-P431423?icid2=products%20grid:p431423,Tatcha,The Pearl Tinted Eye Illuminating Treatment,$48.00 ,4,No Info,-Liquid Extract from Akoya Pearls: A naturally-derived anti-glycation ingredient that helps to reduce the intrinsic signs of aging and fatigue around the eye area associated with A.G.E.; works to address dark circles and fine lines and wrinkles by support,https://www.sephora.com/productimages/sku/s2072213-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/advanced-night-repair-eye-supercharged-complex-P433885?icid2=products%20grid:p433885,Estée Lauder,Advanced Night Repair Eye Supercharged Complex,$64.00 ,3.8,No Info,"Advanced Night Repr Eye Sync Cmpii Division: El (Estee Lauder)Ingredients: Methyl Trimethicone, Water, Bifida Ferment Lysate, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Propanediol, Sucrose, Petrolatum, Polysorbate 40, Trehalose, Algae Extract, Morus Bombycis (Mulberry) Root Extract, Scutellaria Baicalensis Root Extract, Lactobacillus Ferment, Triticum Vulgare (Wheat) Germ Extract, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Betula Alba (Birch) Extract, Hydrolyzed Algin, Poria Cocos Sclerotium Extract, Jojoba Alcohol, Ethylhexylglycerin, Glycine Soja (Soybean) Seed Extract, Isopropyl Jojobate, Jojoba Esters, Isohexadecane, Yeast Extract/Faex/Extrait De Levure, Hydrogenated Lecithin, Hordeum Vulgare (Barley) Extract/Extrait D'Orge, Peg/Ppg-18/18 Dimethicone, Cholesterol, Anthemis Nobilis (Chamomile), Tocopheryl Acetate, Sodium Rna, Caffeine, Polysorbate 80, Caprylyl Glycol, Phytosphingosine, Squalane, Potassium Sulfate, Sodium Hyaluronate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tripeptide-32, Butylene Glycol, Tromethamine, Disodium Edta, Bht, Phenoxyethanol, Iron Oxides (Ci 77491, Ci 77492, Ci 77499)
Please be aware that ingredient lists may change or vary from time to time.� Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.sephora.com/productimages/sku/s2111854-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/sephora-collection-clean-eye-mask-P460856?icid2=products%20grid:p460856,SEPHORA COLLECTION,Clean Eye Mask,$3.50 ,4.2,No Info,"Aqua (Water), Butylene Glycol, Glycerin, Polyglyceryl-10 Laurate, 1,2-Hexanediol, Hydroxyacetophenone, Lecithin, Sodium Polyacrylate, Citrullus Lanatus (Watermelon) Fruit Extract, Glycosyl Trehalose, Parfum (Fragrance), Xanthan Gum, Hydrogenated Starch Hydrolysate, Sorbitan Caprylate, Cucumis Sativus (Cucumber) Fruit Extract, Passiflora Edulis Fruit Extract, CI 19140 (Yellow 5), CI 42090 (Blue 1), Potassium Sorbate, Sodium Benzoate, CI 16035 (Red 40).

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",https://www.sephora.com/productimages/sku/s2283034-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/ferulic-retinol-triple-correction-eye-serum-P377531?icid2=products%20grid:p377531,Dr. Dennis Gross Skincare,Ferulic + Retinol Triple Correction Eye Serum,$69.00 ,3.8,No Info,"Water, Propylene Glycol, Ethoxydiglycol, Centella Asiatica Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Ferulic Acid, Retinol, Potassium Azeloyl Diglycinate, Arctostaphylos Uva-Ursi Leaf Extract, Morus Alba Bark Extract, Salix Alba (Willow) Bark Extract, Quercetin, Caffeine, Ubiquinone, Sodium Hyaluronate, Arbutin, Tetrapeptide-21, Phospholipids, Salicylic Acid, Glycolic Acid, Mandelic Acid, Panthenol, Butylene Glycol, Glycerin, Disodium Lauriminodipropionate Tocopheryl Phosphates, Leuconostoc/Radish Root Ferment Filtrate, Urea, Acrylates/Carbamate Copolymer, PVM/MA Decadiene Crosspolymer, Polysorbate 20, Potassium Hydroxide, Disodium EDTA, Citric Acid, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate, Iron Oxides (CI 77491, CI 77492, CI 77499).",https://www.sephora.com/productimages/sku/s1497841-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/algenist-triple-algae-eye-renewal-balm-with-multi-peptide-complex-P467602?icid2=products%20grid:p467602,Algenist,Triple Algae Eye Renewal Balm with Multi-Peptide Complex,$68.00 ,4.6,No Info,"Patented Alguronic Acid: Hydrates and Reduces the appearance of fine lines and wrinkles.
-Triple Algae (Red, brown, and Green): help target the look of varying causes and tones of dark circles.
-Multi-Peptide Complex: help eye area appear firmer and smoo",https://www.sephora.com/productimages/sku/s2425205-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/all-about-eyes-rich-P174502?icid2=products%20grid:p174502,CLINIQUE,All About Eyes™ Rich Eye Cream,$35.00 ,4.1,No Info,"Water\Aqua\Eau, Butyrospermum Parkii (Shea Butter), Cetearyl Alcohol, Butylene Glycol, Hydrogenated Polyisobutene, Phenyl Trimethicone, Polyglyceryl-3 Beeswax, Polybutene, Sucrose, Cetyl Esters, Polymethyl Methacrylate, Isostearyl Neopentanoate, Glycerin, Cetearyl Glucoside, Tocopheryl Acetate, Triticum Vulgare (Wheat) Germ Extract, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Sigesbeckia Orientalis (St. Paul'S Wort) Extract, Peg-100 Stearate, Coleus Barbatus Extract, Betula Alba (Birch) Extract, Polysilicone-11, Methyl Glucose Sesquistearate, Camellia Sinensis (Green Tea) Leaf Extract, Salvia Officinalis (Sage) Leaf, Glyceryl Polymethacrylate, yeast Extract\Faex\Extrait De Levure, Gentiana Lutea (Gentian) Root Extract, Stearic Acid, Milk Protein\Lactis Proteinum\Protéine Du Lait, Whey Protein\Lactis Protein\Protéine Du Petit-Lait, Palmitoyl Oligopeptide, Squalane, Magnesium Ascorbyl Phosphate, Cholesterol, Caffeine, Peg-8, Phytosphingosine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aminomethyl Propanol, Dimethicone, Isomerized Linoleic Acid, Linoleic Acid, Sodium Hyaluronate, 1,2 Hexanediol, Decarboxy Carnosine Hcl, Potassium Sulfate, Caprylyl Glycol, Disodium Edta, Sodium Dehydroacetate, Phenoxyethanol, yellow 5 (Ci 19140), Mica, Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.sephora.com/productimages/sku/s971473-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/peace-out-puffy-under-eye-patches-P465365?icid2=products%20grid:p465365,Peace Out,Puffy Under-Eye Patches,$25.00 ,4.5,No Info,"Caffeine: Minimizes the appearance of puffiness in the under-eye area.
-Niacinamide: A form of Vitamin B that Brightens the look of dark circles.
-Hyaluronic Acid: Hydrates by binding moisture to the skin.

                                                                                                                                                                                                                                                                Water (Aqua), Butylene Glycol, Glycerin, Niacin",https://www.sephora.com/productimages/sku/s2406189-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/shani-darden-intensive-eye-renewal-cream-with-firming-peptides-P467973?icid2=products%20grid:p467973,Shani Darden Skin Care,Intensive Eye Renewal Cream with Firming Peptides,$68.00 ,4.4,No Info,"Peptides: promote healthy Collagen and elasticity to visibly firm the eye area.
-Silk tree Extract: Clinically shown to visibly lift eyelids and to help fade dark circles.
-Squalane, Niacinamide, and Ceramides: hydrate, prevent moisture loss, and smooth",https://www.sephora.com/productimages/sku/s2433662-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/kiehls-powerful-strength-line-reducing-dark-circle-diminishing-vitamin-c-eye-serum-P454838?icid2=products%20grid:p454838,Kiehl's Since 1851,Powerful-Strength Dark Circle Reducing Vitamin C Eye Serum,$50.00 ,3.8,No Info,"-Pure Vitamin C 10%: Visibly smooths lines and brightens the under-eye area.
-Tri-Peptides: Reinforce the under-eye area to reduce the look of brown and blue dark circles.
-Fragmented Hyaluronic Acid: Works to improve the appearance of skin texture and vi",https://www.sephora.com/productimages/sku/s2324796-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/brightening-eye-cream-hydrate-depuff-P438619?icid2=products%20grid:p438619,SEPHORA COLLECTION,Brightening Eye Cream – Hydrate & Depuff,$17.00 ,4,No Info,"Caffeine: Depuffs eye contour.
-Hyaluronic Acid of natural Origin: Increases moisture retention and Prevents dehydration.
-Mudar Plant bark Extract: anti-aging properties.

                                                                                                                                                                                                                                                                Water Caprylic/Capric Triglyceride, Glycerin, Glyceryl Stearate Citrate, Heptyl U",https://www.sephora.com/productimages/sku/s2080182-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/bye-bye-under-eye-eye-cream-smooths-brightens-depuffs-P411401?icid2=products%20grid:p411401,IT Cosmetics,Bye Bye Under Eye Brightening Eye Cream,$49.00 ,0,No Info,"Collagen: Supports skin elasticity for A youthful, smooth appearance.
-Cucumber Extract: Has soothing properties and Helps reduce the appearance of puffiness.
-Hyaluronic Acid: locks in moisture, Supports the look of skin elasticity, and diminishes the l",https://www.sephora.com/productimages/sku/s1868124-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/bobbi-brown-vitamin-enriched-eye-base-P462339?icid2=products%20grid:p462339,Bobbi Brown,Vitamin Enriched Eye Base,$54.00 ,0,No Info,"-Sodium Hyaluronate
-Shea Butter

Water\Aqua\Eau, Dimethicone, Bis-Diglyceryl Polyacyladipate-2, Butylene Glycol, Ppg-2 Myristyl Ether Propionate, Cetyl Alcohol, Peg-40 Stearate, Butyrospermum Parkii (Shea) Butter, Rhodochrosite Extract, Ascorbyl Glucosid",https://www.sephora.com/productimages/sku/s2367845-main-zoom.jpg?imwidth=315,,,,,,,
